19820366	suobo zhang	31.73752964426	3.645282998560466	35.2	12.4	0	1	0	1
5740404	jie yang	7.767142857142	2.8378777816255916	12.2	6.4	1	0	0	1
19820366	wenzhi zhao	9.80190476191	2.0638564292344124	19.6	12.2	0	1	0	1
19820366	he yuan	0.18333333333320004	0.0	5.0	6.0	0	1	0	1
205237279	jianhua xie	7.1611721611679995	3.905121496387944	33.0	8.8	0	0	1	1
19820366	shen weijun	2.5026315789485998	0.0	14.0	6.4	1	0	0	1
19820366	haibin wu	11.35047619048	3.4416309669054206	17.8	4.4	1	0	0	1
20231570	jie shi	11.4598701298622	4.354632090440776	23.0	9.4	0	1	0	1
19820366	li shuqiang	2.74	1.0920640293110997	8.6	3.2	1	0	0	1
19820366	jifeng liu	1.00808080808	0.0	18.0	4.8	0	1	0	1
25254941	liu yajun	4.36	2.9280515365745896	17.8	6.4	0	1	0	1
19820366	chongxin shan	2.6533333333334	0.0	23.0	5.8	0	1	0	1
19820366	he huaiyu	1.845	0.0	19.0	4.2	1	0	0	1
19820366	song ye	3.5499999999980005	0.0	32.0	6.8	0	0	1	1
139759216	tao xiaofeng	1.4534739454094	1.0570898172066971	9.6	21.4	0	0	1	1
119454577	dong jiang	6.7366844919778215	2.442182385399448	26.0	9.4	0	1	0	1
154099455	li yuezhong	10.488888888888	3.356118032307738	16.0	6.0	1	0	0	1
99065089	li xianting	10.194558823528002	2.8266654711828743	22.6	13.6	0	1	0	1
183067930	hongkai xiong	1.288479941111	0.0	12.0	11.2	0	0	1	1
19820366	renfang shen	0.0	0.0	5.0	0.0	1	0	0	1
157773358	qiang zhang	2.885780885782	0.0	24.0	10.6	0	0	1	1
115592961	shouqi yuan	1.90794117647	0.4262856548081509	4.2	14.0	1	0	0	1
20231570	guo hong	4.2545709192742	2.504561760311101	18.8	21.4	0	0	1	1
19820366	qinglong wu	0.0	0.0	1.0	0.0	1	0	0	1
24943067	chunhui deng	5.25837640621	0.0	50.0	10.4	0	0	1	1
16609230	he yan	7.916666666660001	0.0	24.8	5.4	0	1	0	1
881766915	tiaojun xiao	4.166666666666	0.0	16.0	2.4	0	1	0	1
37461747	刘义	0.0	0.0	1.0	0.0	1	0	0	1
99065089	许春晓	0.0	0.0	1.0	0.0	1	0	0	1
52158045	liu xuejun	5.7583333333334	0.0	27.0	11.6	0	1	0	1
52158045	hanchun yang	22.216190476199998	2.4552028357215767	20.8	9.6	1	0	0	1
52158045	dongtao ren	0.0	0.0	2.0	0.0	1	0	0	1
19820366	haibin wang	13.102280701760002	3.634603562429669	27.2	9.4	1	0	0	1
119454577	jianwen zou	7.858333333340001	3.3163091169000127	22.2	6.4	1	0	0	1
19820366	huang shanjin	15.066666666666	5.940283906480683	17.2	3.4	1	0	0	1
76130692	feihe huang	68.76473053801999	8.119541408237945	57.8	25.4	0	1	0	1
24943067	chen jiang	5.111666666666	0.0	28.0	6.4	0	1	0	1
126520041	hengan wu	1.861904761906	0.0	21.0	10.2	0	1	0	1
126520041	chaoyang lu	5.140588235294	0.0	21.0	6.2	0	1	0	1
881766915	haijun wu	2.5	0.0	11.0	0.8	1	0	0	1
59028903	li sanzhong	6.024776251974	1.7528761190750828	43.4	22.2	0	0	1	1
20231570	canfei he	2.783333333332	0.0	14.8	7.8	1	0	0	1
19820366	jianhua tao	0.886086956522	0.0	14.0	10.0	0	1	0	1
92403157	dang zhimin	3.496687523004	0.0	28.0	11.2	0	1	0	1
19820366	qianfei wang	0.9138888888888002	0.0	11.0	5.4	1	0	0	1
19820366	hu jinbo	24.99729102166	2.3705211676087954	30.0	18.4	0	1	0	1
204983213	feng yujie	14.947420718805999	3.897121197717936	33.8	28.2	0	1	0	1
19820366	cao hongbin	4.730861244024	0.0	23.8	21.6	0	1	0	1
90610280	xianmin zhang	4.918753142279999	0.7642682703880868	11.2	15.6	0	1	0	1
19820366	changsheng zhang	15.49855699856	4.242561175813174	21.4	9.2	1	0	0	1
149594827	li zhiwu	17.880769230753998	2.7324146523357564	29.2	10.4	0	1	0	1
66867065	jian wu	0.97	0.0	17.0	6.4	0	0	1	1
5740404	ning zhang	14.783636363636	4.165358983969717	22.0	10.6	1	0	0	1
19820366	qingdong zheng	8.357777777779999	5.466992732879293	23.2	8.8	1	0	0	1
126520041	chen yuao	3.72261904762	0.0	18.8	7.0	0	1	0	1
47720641	jiang tao	4.1645794215282015	2.1508677336438806	26.6	36.8	0	0	1	1
90610280	lizhi zhang	2.177142857144	0.0	30.0	6.6	0	1	0	1
157773358	fan wang	8.383333333326	2.2450262378728905	10.6	2.6	1	0	0	1
157773358	gangfeng ouyang	21.527122153211998	4.574748604439932	32.6	16.8	0	1	0	1
183067930	yongfeng zhou	22.608503996012	6.021060448702412	38.2	11.4	0	0	1	1
20231570	dai zhifei	23.034126984131998	6.12608098022506	21.4	13.2	1	0	0	1
24943067	wu yuping	6.0349321266960025	0.0	41.0	13.0	0	0	1	1
19820366	ke xia	7.1	0.9492439730953433	10.4	1.8	1	0	0	1
16609230	shuangchun wen	26.711922166536002	2.0172250874722506	26.8	27.2	0	0	1	1
19820366	yao yonggang	1.1666666666666	0.4088144872102784	4.0	1.2	1	0	0	1
19820366	chenqi xu	6.59333333334	0.0	14.0	2.0	1	0	0	1
75390827	min wei	20.9720535275	6.699092768222999	48.0	29.4	0	0	1	1
27357992	qinghua zhu	63.25	2.6726056100434303	31.6	7.0	0	1	0	1
20231570	xueqing yan	1.809956709958	0.6352158445508206	5.8	6.4	1	0	0	1
99065089	baoyin hexi	0.9822222222220001	0.0	20.0	5.0	0	0	1	1
204983213	fan feng	2.4577030812314	1.2981020662323774	11.8	12.2	0	1	0	1
82880672	lijun yang	0.26	0.0	9.0	5.4	0	1	0	1
157773358	chengxin wang	19.156549707614	6.793786294087554	20.0	12.4	1	0	0	1
183067930	dong yi	1.4602164502153998	1.7688106337178628	11.0	9.0	0	1	0	1
20231570	chen yuyu	3.4	0.0	13.8	2.2	0	1	0	1
126520041	fei sun	10.937454212452	4.164233792340463	17.6	7.6	1	0	0	1
191208505	王大志	0.0	0.0	1.0	0.0	1	0	0	1
52158045	jinsheng lai	16.147142857147998	5.807419765537728	18.0	5.8	1	0	0	1
177933477	liu shanrong	5.166666666666	0.0	11.0	1.8	1	0	0	1
19820366	geng yong	8.617948717946	2.4274424717812844	38.0	4.6	0	1	0	1
76130692	honghe zhang	5.483636363636	0.0	10.8	4.0	1	0	0	1
20231570	he jinsheng	30.21333333334	3.4040578550243827	13.6	2.6	1	0	0	1
55712492	chen shengyong	4.194944872062	1.9962093668661118	24.6	15.0	0	0	1	1
24943067	wu zhiying	9.58571428572	4.31557867798683	12.0	7.8	1	0	0	1
19820366	tian ye	9.0858561569186	4.582325459680279	27.4	23.0	0	0	1	1
19820366	fan ke	4.749999999994	2.5281162363594234	17.0	4.4	0	1	0	1
20231570	jianzhong xi	13.1	4.372018435818811	9.8	2.2	1	0	0	1
87445476	chen xuefeng	14.64538497217	1.9028504644533601	27.4	30.8	0	1	0	1
19820366	liu sijin	5.08623376624	0.0	20.6	11.0	0	1	0	1
99065089	ji xiangyang	2.4944444444459997	2.05942051946058	15.0	6.0	0	1	0	1
21945476	yang zhongnan	14.47166666666	3.5263201999620484	14.6	7.4	1	0	0	1
83519826	aihua zhang	3.4497686523986006	2.0648306181846	15.6	12.2	1	0	0	1
19820366	hairong zheng	4.064764694765402	2.9974607287898962	20.6	41.2	0	0	1	1
87445476	jizhong zhao	4.9423076923049996	1.1708775587835671	20.8	11.0	0	1	0	1
47720641	qingguo xie	0.7577192982446	0.0	12.0	8.6	0	1	0	1
183067930	jiang wei	2.841839043312	1.9406009382727647	13.8	10.6	0	1	0	1
90610280	fei huang	41.34245009422	6.894731838610263	46.4	34.8	0	1	0	1
205237279	fang yongchun	3.7939289446200006	2.701994505308948	19.0	22.6	0	1	0	1
19820366	lean yu	9.725	0.946633901951958	23.8	2.2	0	0	1	1
99065089	sichun zhang	16.730833333339998	4.6205120976879215	34.4	9.8	0	1	0	1
19820366	qingyin zeng	2.5	0.0	14.0	1.2	1	0	0	1
58200834	jing nie	9.080000000000002	3.9874547157751423	15.0	5.6	1	0	0	1
191208505	dazhi wang	1.866666666666	0.0	19.0	2.0	0	1	0	1
19820366	peng shi	7.328571428579401	4.4235722703541525	14.0	3.6	1	0	0	1
126520041	gong xinglong	11.300518518526001	2.5223072689778845	31.4	19.4	0	0	1	1
183067930	lu xingcai	4.22666666666	0.0	18.0	5.6	1	0	0	1
19820366	chunyang zhang	12.644444444458001	5.2472054225193085	29.0	8.2	1	0	0	1
19820366	luo sanzhong	15.710582010576001	2.866440456754929	37.6	16.6	0	1	0	1
37461747	huijiang zhao	9.108333333334	1.1379591476179842	15.6	4.8	1	0	0	1
126520041	jiuhou lei	4.0800000000006005	2.3142887963854406	12.2	9.6	0	1	0	1
24185976	hong tan	1.6406593406592005	0.0	28.0	7.0	0	1	0	1
75390827	yu zhongzhen	31.193762816139998	4.699710861195678	37.8	14.2	0	1	0	1
19820366	fan yizhong	2.0785	0.0	22.0	9.6	0	1	0	1
99065089	huaping xu	6.83409090909	0.0	32.0	5.6	0	1	0	1
27357992	keqiu li	4.3879365079360015	1.8741659419035759	17.2	19.6	0	0	1	1
113940042	lu xionggang	5.294939684765599	2.991686120617497	22.8	26.8	0	1	0	1
194450716	hongwei song	23.324362745100004	3.408523030809841	18.0	13.2	1	0	0	1
25757504	fubao zhou	4.942777777778001	1.7659737833837557	11.2	12.6	1	0	0	1
19820366	陈少华	0.0	0.0	1.0	0.0	1	0	0	1
157773358	peng xiang	2.4	0.0	13.0	1.6	0	1	0	1
20231570	yufeng zheng	0.2	0.0	2.0	1.6	1	0	0	1
20231570	古英	0.0	0.0	1.0	0.0	1	0	0	1
47720641	张新亮	0.0	0.0	1.0	0.0	1	0	0	1
204983213	qiang ye	10.13214285714	1.610981643233491	17.0	5.8	0	1	0	1
99065089	chen yubo	2.2	0.2380368098159509	8.8	0.4	1	0	0	1
9224756	wang xingwei	0.5	0.4737243174781876	3.0	0.6	1	0	0	1
24943067	dean ta	0.4555555555562	0.0	14.0	3.2	0	1	0	1
9224756	huang min	0.0	0.0	3.0	0.2	1	0	0	1
52158045	meijia zhang	0.0	0.0	6.0	0.2	1	0	0	1
19820366	chengshu wang	14.63888888888	4.214801665901214	28.8	10.2	1	0	0	1
19820366	jiang taijiao	15.130555555555999	5.841653837792378	11.8	5.8	1	0	0	1
125839683	baohua ji	8.579004328998	1.7381698303992323	9.0	6.2	1	0	0	1
50760025	lu renquan	2.940217391304	0.0	22.0	11.2	0	1	0	1
19820366	xie xin	1.9060150375940001	0.0	15.0	8.8	0	1	0	1
19820366	jianhua ju	6.196153846153799	0.0	25.0	5.2	0	1	0	1
19820366	hou jianhui	40.7497049247	7.755168695708443	55.2	30.0	0	1	0	1
82880672	qingyun wang	5.72777777778	1.682253306445633	17.8	7.0	0	1	0	1
76569877	litao sun	1.262068965518	0.0	31.0	9.2	0	0	1	1
37461747	dianqing li	12.904032091098205	1.8884883540380304	18.2	17.0	1	0	0	1
24943067	tao yi	26.00606060606	4.57176018454076	45.4	10.6	0	0	1	1
183067930	saixing zeng	14.6	0.7661385523454489	2.8	0.4	1	0	0	1
19820366	liu yuanhong	8.750174825178	2.8207986739344184	23.6	14.4	0	1	0	1
76569877	jihong ye	2.19	0.8896198450499796	6.0	3.4	1	0	0	1
9916479	cao feng	4.36118881119	2.708810785214752	28.8	12.6	0	0	1	1
25254941	li xiaoyan	13.175	2.1123910580474416	17.0	6.4	1	0	0	1
20231570	guo xuefeng	12.162087912100795	8.001564077630944	32.4	12.8	1	0	0	1
16609230	guilin wen	9.804871794872401	1.9439672320127983	12.0	8.4	1	0	0	1
4800084	ping wang	0.39454191033040004	0.0	5.8	13.6	0	1	0	1
82880672	duan haibin	1.6693506493504	0.0	26.0	17.2	0	0	1	1
19820366	jianqiu wang	15.828571428572	2.4230338994690106	20.4	7.6	0	1	0	1
39333907	liu zhongyuan	18.589964202460003	3.1773128923662854	20.4	16.8	0	1	0	1
135714990	jijun xiong	0.8698241758241999	0.0	11.0	16.2	0	0	1	1
154099455	liu yungang	2.0163170163190003	1.4231856727581491	14.0	14.8	0	1	0	1
125839683	hua huang	3.3	0.0	7.0	2.6	1	0	0	1
125839683	cheng wang	1.6993506493504	1.320287733367199	8.6	7.6	1	0	0	1
19820366	郑婉华	0.2	0.05254403131115461	2.0	0.4	1	0	0	1
24943067	wendong xu	1.2791666666666002	0.0	8.0	5.8	1	0	0	1
170215575	dou yong	3.743333333334	0.9316913589340554	9.6	16.6	0	1	0	1
183067930	yumin zhao	0.0	0.0	0.0	0.0	1	0	0	1
9086337	liang weiguo	2.233333333334	1.5477775522529622	7.2	3.0	1	0	0	1
99065089	peilun rao	0.0	0.0	1.0	0.0	1	0	0	1
76130692	huang jun	3.2833333333340002	1.4264360175537774	14.0	2.0	1	0	0	1
59028903	wang zhenyu	15.209126984128	3.1213112179054048	24.2	6.0	0	1	0	1
76214153	yan zhao	14.23333333334	2.2792657277649933	20.8	1.6	0	1	0	1
163340411	chen wen	12.185371687146	1.6482211329283456	25.0	27.8	0	1	0	1
3923682	chen hong	12.235555555542	3.2730918207039763	15.2	8.4	1	0	0	1
116953780	tian yang	24.0	4.365452378098415	29.6	3.8	0	1	0	1
20231570	kong wei	7.70461760462	3.9151005360510807	16.2	8.0	1	0	0	1
87445476	gangfeng wang	0.5555555555556	0.0	19.0	3.2	0	1	0	1
191208505	yunwu zhang	3.5	2.16613223751883	8.8	1.0	1	0	0	1
19820366	liu yongqin	1.4250000000002	0.0	13.0	6.0	0	1	0	1
19820366	qiuhong tang	8.751308753164	0.0	20.0	10.0	0	1	0	1
20231570	limei xu	4.17	0.0	10.0	2.2	1	0	0	1
19820366	wang yanyi	1.34	0.0	12.0	2.4	1	0	0	1
19820366	cao jun	4.36	1.3537274627048703	6.6	1.6	1	0	0	1
40963666	yadong yang	4.1428571428572	3.0686373730391057	8.2	3.6	1	0	0	1
183067930	lin shuangjun	0.5619047619054001	0.0	15.0	2.6	0	1	0	1
162868743	junan ma	7.231606381678	3.0331112362438715	26.6	16.6	0	1	0	1
204831749	huazhen lin	2.85	2.017332919981316	3.8	3.2	1	0	0	1
157773358	jia weihua	0.0	0.0	0.0	0.2	1	0	0	1
126520041	ding hang	1.7666666666659998	0.0	6.0	3.0	1	0	0	1
143593769	feng yaoyu	3.92	0.0	26.0	6.0	0	1	0	1
76130692	chao gao	20.06162878788	6.574851142327868	44.2	18.0	0	1	0	1
5740404	chunshui yu	3.623109074841	0.0	29.0	17.6	0	1	0	1
19820366	binyong sun	0.6599999999999999	0.0	9.0	1.4	1	0	0	1
148099405	wang yi	1.726666666666	0.0	6.6	5.0	1	0	0	1
19820366	he shenggui	7.728392440898	4.033350009877991	30.0	13.0	0	1	0	1
19820366	qiangbin wang	7.612161172169999	0.0	30.0	8.6	0	1	0	1
157773358	shuai xintao	13.007976190474	4.6626580309900065	28.8	10.2	1	0	0	1
19820366	long miao	2.26666666666	0.0	8.8	0.8	1	0	0	1
125839683	chun li	2.2605555555560004	0.0	18.0	6.2	0	1	0	1
58200834	xinhong zhu	5.0	4.490918912603688	11.0	1.4	1	0	0	1
183067930	wang xinbing	4.0607887700540015	1.9762152444432843	30.4	28.6	0	0	1	1
19820366	zhao zongbao	0.0	0.0	1.0	0.0	1	0	0	1
75390827	xiaoping zheng	0.0	0.0	11.0	0.0	1	0	0	1
19820366	yangheng zheng	0.38	0.0	4.6	8.8	0	1	0	1
157773358	hongbing ji	4.71272577996	0.0	19.8	15.8	0	1	0	1
19820366	刘建胜	0.0	0.0	1.0	0.0	1	0	0	1
183067930	jianglai liu	6.17142857142	0.0	10.6	3.6	1	0	0	1
881766915	gaofei zhang	0.0	0.0	2.0	0.0	1	0	0	1
881766915	lu xian	0.0	0.0	1.0	0.0	1	0	0	1
96852419	aibing zhang	1.59	0.0	11.0	2.4	1	0	0	1
3923682	cai yangjian	0.8812030075199999	0.0	27.0	8.6	0	0	1	1
66867065	tang zheng	1.325	0.0	5.0	2.4	1	0	0	1
143593769	linyong zhu	4.9785714285800005	0.0	16.8	4.2	0	1	0	1
154099455	hu xijun	1.8	0.0	6.0	1.8	1	0	0	1
